Company Name,Channel Type,Cover Type,Duration_bucket,Value
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,> 6 months to 12 months,0.0
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,> 2 weeks to 2 months,68.5
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,> 2 months to 6 months,3.7
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,DII,> 12 months,0.0
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,0-2 weeks,85.4
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,> 6 months to 12 months,0.3
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,> 2 weeks to 2 months,11.4
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,> 2 months to 6 months,2.9
H C F Life Insurance Company Pty Ltd,Individual Non-Advised,Trauma,> 12 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,0-2 weeks,65.3
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,> 6 months to 12 months,2.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,> 2 weeks to 2 months,26.7
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,> 2 months to 6 months,5.9
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,CCI,> 12 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,DII,0-2 weeks,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,DII,> 6 months to 12 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,DII,> 2 weeks to 2 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,DII,> 2 months to 6 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,DII,> 12 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,0-2 weeks,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,> 6 months to 12 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,> 2 weeks to 2 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,> 2 months to 6 months,0.0
Hallmark Life Insurance Company Ltd.,Individual Non-Advised,Trauma,> 12 months,0.0
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,0-2 weeks,37.3
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,> 6 months to 12 months,8.5
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,> 2 weeks to 2 months,31.5
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,> 2 months to 6 months,21.6
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Death,> 12 months,1.2
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,0-2 weeks,41.6
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,> 6 months to 12 months,1.4
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,> 2 weeks to 2 months,44.0
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,> 2 months to 6 months,13.1
Hannover Life Re of Australasia Ltd,Individual Non-Advised,DII,> 12 months,0.0
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,0-2 weeks,76.3
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,> 6 months to 12 months,0.6
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,> 2 weeks to 2 months,19.9
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,> 2 months to 6 months,3.2
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Funeral,> 12 months,0.1
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,0-2 weeks,47.4
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,> 6 months to 12 months,9.2
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,> 2 weeks to 2 months,31.6
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,> 2 months to 6 months,11.8
Hannover Life Re of Australasia Ltd,Individual Non-Advised,Trauma,> 12 months,0.0
Hannover Life Re of Australasia Ltd,Group Super,Death,0-2 weeks,88.7
Hannover Life Re of Australasia Ltd,Group Super,Death,> 6 months to 12 months,1.6
Hannover Life Re of Australasia Ltd,Group Super,Death,> 2 weeks to 2 months,6.5
Hannover Life Re of Australasia Ltd,Group Super,Death,> 2 months to 6 months,1.6
Hannover Life Re of Australasia Ltd,Group Super,Death,> 12 months,1.6
Hannover Life Re of Australasia Ltd,Group Super,DII,0-2 weeks,18.0
Hannover Life Re of Australasia Ltd,Group Super,DII,> 6 months to 12 months,5.0
Hannover Life Re of Australasia Ltd,Group Super,DII,> 2 weeks to 2 months,46.0
Hannover Life Re of Australasia Ltd,Group Super,DII,> 2 months to 6 months,30.0
Hannover Life Re of Australasia Ltd,Group Super,DII,> 12 months,1.0
Hannover Life Re of Australasia Ltd,Group Super,TPD,0-2 weeks,17.1
Hannover Life Re of Australasia Ltd,Group Super,TPD,> 6 months to 12 months,12.8
Hannover Life Re of Australasia Ltd,Group Super,TPD,> 2 weeks to 2 months,26.7
Hannover Life Re of Australasia Ltd,Group Super,TPD,> 2 months to 6 months,36.5
Hannover Life Re of Australasia Ltd,Group Super,TPD,> 12 months,6.9
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,0-2 weeks,71.5
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,> 6 months to 12 months,0.2
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,> 2 weeks to 2 months,24.8
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,> 2 months to 6 months,3.6
Hannover Life Re of Australasia Ltd,Group Ordinary,DII,> 12 months,0.0
Integrity Life Australia Limited,Group Ordinary,Death,0-2 weeks,86.7
Integrity Life Australia Limited,Group Ordinary,Death,> 6 months to 12 months,0.0
Integrity Life Australia Limited,Group Ordinary,Death,> 2 weeks to 2 months,10.0
Integrity Life Australia Limited,Group Ordinary,Death,> 2 months to 6 months,3.3
Integrity Life Australia Limited,Group Ordinary,Death,> 12 months,0.0
Integrity Life Australia Limited,Group Ordinary,DII,0-2 weeks,21.7
Integrity Life Australia Limited,Group Ordinary,DII,> 6 months to 12 months,1.2
Integrity Life Australia Limited,Group Ordinary,DII,> 2 weeks to 2 months,49.4
Integrity Life Australia Limited,Group Ordinary,DII,> 2 months to 6 months,27.7
Integrity Life Australia Limited,Group Ordinary,DII,> 12 months,0.0
MetLife Insurance Limited,Group Super,Death,0-2 weeks,75.1
MetLife Insurance Limited,Group Super,Death,> 6 months to 12 months,0.9
MetLife Insurance Limited,Group Super,Death,> 2 weeks to 2 months,20.1
MetLife Insurance Limited,Group Super,Death,> 2 months to 6 months,3.8
MetLife Insurance Limited,Group Super,Death,> 12 months,0.1
MetLife Insurance Limited,Group Super,DII,0-2 weeks,30.1
MetLife Insurance Limited,Group Super,DII,> 6 months to 12 months,2.8
MetLife Insurance Limited,Group Super,DII,> 2 weeks to 2 months,52.9
MetLife Insurance Limited,Group Super,DII,> 2 months to 6 months,13.9
MetLife Insurance Limited,Group Super,DII,> 12 months,0.2
MetLife Insurance Limited,Group Super,TPD,0-2 weeks,14.8
MetLife Insurance Limited,Group Super,TPD,> 6 months to 12 months,18.1
MetLife Insurance Limited,Group Super,TPD,> 2 weeks to 2 months,23.4
MetLife Insurance Limited,Group Super,TPD,> 2 months to 6 months,38.8
MetLife Insurance Limited,Group Super,TPD,> 12 months,5.0
MetLife Insurance Limited,Group Ordinary,DII,0-2 weeks,50.6
MetLife Insurance Limited,Group Ordinary,DII,> 6 months to 12 months,0.6
MetLife Insurance Limited,Group Ordinary,DII,> 2 weeks to 2 months,41.1
MetLife Insurance Limited,Group Ordinary,DII,> 2 months to 6 months,7.6
MetLife Insurance Limited,Group Ordinary,DII,> 12 months,0.0
MLC Limited,Individual Non-Advised,Accident,0-2 weeks,0.0
MLC Limited,Individual Non-Advised,Accident,> 6 months to 12 months,0.0
MLC Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,0.0
MLC Limited,Individual Non-Advised,Accident,> 2 months to 6 months,0.0
MLC Limited,Individual Non-Advised,Accident,> 12 months,0.0
MLC Limited,Individual Non-Advised,CCI,0-2 weeks,81.4
MLC Limited,Individual Non-Advised,CCI,> 6 months to 12 months,0.8
MLC Limited,Individual Non-Advised,CCI,> 2 weeks to 2 months,11.3
MLC Limited,Individual Non-Advised,CCI,> 2 months to 6 months,6.2
MLC Limited,Individual Non-Advised,CCI,> 12 months,0.3
MLC Limited,Individual Advised,Death,0-2 weeks,85.7
MLC Limited,Individual Advised,Death,> 6 months to 12 months,0.7
MLC Limited,Individual Advised,Death,> 2 weeks to 2 months,8.2
MLC Limited,Individual Advised,Death,> 2 months to 6 months,4.3
MLC Limited,Individual Advised,Death,> 12 months,1.1
MLC Limited,Individual Advised,DII,0-2 weeks,61.0
MLC Limited,Individual Advised,DII,> 6 months to 12 months,2.5
MLC Limited,Individual Advised,DII,> 2 weeks to 2 months,26.2
MLC Limited,Individual Advised,DII,> 2 months to 6 months,9.5
MLC Limited,Individual Advised,DII,> 12 months,0.8
MLC Limited,Individual Advised,TPD,0-2 weeks,11.8
MLC Limited,Individual Advised,TPD,> 6 months to 12 months,21.3
MLC Limited,Individual Advised,TPD,> 2 weeks to 2 months,18.9
MLC Limited,Individual Advised,TPD,> 2 months to 6 months,31.9
MLC Limited,Individual Advised,TPD,> 12 months,16.1
MLC Limited,Individual Advised,Trauma,0-2 weeks,73.8
MLC Limited,Individual Advised,Trauma,> 6 months to 12 months,2.0
MLC Limited,Individual Advised,Trauma,> 2 weeks to 2 months,15.6
MLC Limited,Individual Advised,Trauma,> 2 months to 6 months,7.7
MLC Limited,Individual Advised,Trauma,> 12 months,0.9
MLC Limited,Group Super,Death,0-2 weeks,86.9
MLC Limited,Group Super,Death,> 6 months to 12 months,0.5
MLC Limited,Group Super,Death,> 2 weeks to 2 months,11.5
MLC Limited,Group Super,Death,> 2 months to 6 months,1.1
MLC Limited,Group Super,Death,> 12 months,0.0
MLC Limited,Group Super,DII,0-2 weeks,16.7
MLC Limited,Group Super,DII,> 6 months to 12 months,2.2
MLC Limited,Group Super,DII,> 2 weeks to 2 months,56.3
MLC Limited,Group Super,DII,> 2 months to 6 months,24.0
MLC Limited,Group Super,DII,> 12 months,0.9
MLC Limited,Group Super,TPD,0-2 weeks,8.7
MLC Limited,Group Super,TPD,> 6 months to 12 months,21.4
MLC Limited,Group Super,TPD,> 2 weeks to 2 months,23.5
MLC Limited,Group Super,TPD,> 2 months to 6 months,41.5
MLC Limited,Group Super,TPD,> 12 months,4.8
MLC Limited,Group Ordinary,DII,0-2 weeks,18.3
MLC Limited,Group Ordinary,DII,> 6 months to 12 months,1.3
MLC Limited,Group Ordinary,DII,> 2 weeks to 2 months,55.7
MLC Limited,Group Ordinary,DII,> 2 months to 6 months,24.7
MLC Limited,Group Ordinary,DII,> 12 months,0.0
NobleOak Life Limited,Individual Non-Advised,Death,0-2 weeks,87.7
NobleOak Life Limited,Individual Non-Advised,Death,> 6 months to 12 months,1.4
NobleOak Life Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,4.1
NobleOak Life Limited,Individual Non-Advised,Death,> 2 months to 6 months,6.8
NobleOak Life Limited,Individual Non-Advised,Death,> 12 months,0.0
NobleOak Life Limited,Individual Non-Advised,DII,0-2 weeks,27.0
NobleOak Life Limited,Individual Non-Advised,DII,> 6 months to 12 months,7.9
NobleOak Life Limited,Individual Non-Advised,DII,> 2 weeks to 2 months,42.9
NobleOak Life Limited,Individual Non-Advised,DII,> 2 months to 6 months,22.2
NobleOak Life Limited,Individual Non-Advised,DII,> 12 months,0.0
NobleOak Life Limited,Individual Non-Advised,Funeral,0-2 weeks,91.7
NobleOak Life Limited,Individual Non-Advised,Funeral,> 6 months to 12 months,0.7
NobleOak Life Limited,Individual Non-Advised,Funeral,> 2 weeks to 2 months,4.9
NobleOak Life Limited,Individual Non-Advised,Funeral,> 2 months to 6 months,2.8
NobleOak Life Limited,Individual Non-Advised,Funeral,> 12 months,0.0
NobleOak Life Limited,Individual Advised,DII,0-2 weeks,50.0
NobleOak Life Limited,Individual Advised,DII,> 6 months to 12 months,1.7
NobleOak Life Limited,Individual Advised,DII,> 2 weeks to 2 months,28.0
NobleOak Life Limited,Individual Advised,DII,> 2 months to 6 months,19.4
NobleOak Life Limited,Individual Advised,DII,> 12 months,0.9
NobleOak Life Limited,Individual Advised,Trauma,0-2 weeks,84.2
NobleOak Life Limited,Individual Advised,Trauma,> 6 months to 12 months,0.0
NobleOak Life Limited,Individual Advised,Trauma,> 2 weeks to 2 months,10.5
NobleOak Life Limited,Individual Advised,Trauma,> 2 months to 6 months,5.3
NobleOak Life Limited,Individual Advised,Trauma,> 12 months,0.0
QInsure Limited,Group Super,Death,0-2 weeks,76.2
QInsure Limited,Group Super,Death,> 6 months to 12 months,2.9
QInsure Limited,Group Super,Death,> 2 weeks to 2 months,10.7
QInsure Limited,Group Super,Death,> 2 months to 6 months,10.2
QInsure Limited,Group Super,Death,> 12 months,0.0
QInsure Limited,Group Super,DII,0-2 weeks,48.1
QInsure Limited,Group Super,DII,> 6 months to 12 months,2.5
QInsure Limited,Group Super,DII,> 2 weeks to 2 months,33.8
QInsure Limited,Group Super,DII,> 2 months to 6 months,14.7
QInsure Limited,Group Super,DII,> 12 months,0.9
QInsure Limited,Group Super,TPD,0-2 weeks,27.0
QInsure Limited,Group Super,TPD,> 6 months to 12 months,13.6
QInsure Limited,Group Super,TPD,> 2 weeks to 2 months,17.6
QInsure Limited,Group Super,TPD,> 2 months to 6 months,38.4
QInsure Limited,Group Super,TPD,> 12 months,3.4
Resolution Life Australasia Limited,Individual Non-Advised,Accident,0-2 weeks,0.0
Resolution Life Australasia Limited,Individual Non-Advised,Accident,> 6 months to 12 months,0.0
Resolution Life Australasia Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,0.0
Resolution Life Australasia Limited,Individual Non-Advised,Accident,> 2 months to 6 months,0.0
Resolution Life Australasia Limited,Individual Non-Advised,Accident,> 12 months,0.0
Resolution Life Australasia Limited,Individual Non-Advised,DII,0-2 weeks,49.3
Resolution Life Australasia Limited,Individual Non-Advised,DII,> 6 months to 12 months,0.0
Resolution Life Australasia Limited,Individual Non-Advised,DII,> 2 weeks to 2 months,41.4
Resolution Life Australasia Limited,Individual Non-Advised,DII,> 2 months to 6 months,9.2
Resolution Life Australasia Limited,Individual Non-Advised,DII,> 12 months,0.0
Resolution Life Australasia Limited,Individual Non-Advised,Trauma,0-2 weeks,43.3
Resolution Life Australasia Limited,Individual Non-Advised,Trauma,> 6 months to 12 months,3.1
Resolution Life Australasia Limited,Individual Non-Advised,Trauma,> 2 weeks to 2 months,32.0
Resolution Life Australasia Limited,Individual Non-Advised,Trauma,> 2 months to 6 months,21.6
Resolution Life Australasia Limited,Individual Non-Advised,Trauma,> 12 months,0.0
Resolution Life Australasia Limited,Individual Advised,Death,0-2 weeks,66.2
Resolution Life Australasia Limited,Individual Advised,Death,> 6 months to 12 months,1.7
Resolution Life Australasia Limited,Individual Advised,Death,> 2 weeks to 2 months,22.9
Resolution Life Australasia Limited,Individual Advised,Death,> 2 months to 6 months,8.5
Resolution Life Australasia Limited,Individual Advised,Death,> 12 months,0.7
Resolution Life Australasia Limited,Individual Advised,DII,0-2 weeks,43.5
Resolution Life Australasia Limited,Individual Advised,DII,> 6 months to 12 months,3.7
Resolution Life Australasia Limited,Individual Advised,DII,> 2 weeks to 2 months,41.2
Resolution Life Australasia Limited,Individual Advised,DII,> 2 months to 6 months,9.2
Resolution Life Australasia Limited,Individual Advised,DII,> 12 months,2.4
Resolution Life Australasia Limited,Individual Advised,TPD,0-2 weeks,0.9
Resolution Life Australasia Limited,Individual Advised,TPD,> 6 months to 12 months,35.4
Resolution Life Australasia Limited,Individual Advised,TPD,> 2 weeks to 2 months,8.7
Resolution Life Australasia Limited,Individual Advised,TPD,> 2 months to 6 months,36.5
Resolution Life Australasia Limited,Individual Advised,TPD,> 12 months,18.6
Resolution Life Australasia Limited,Individual Advised,Trauma,0-2 weeks,27.8
Resolution Life Australasia Limited,Individual Advised,Trauma,> 6 months to 12 months,7.3
Resolution Life Australasia Limited,Individual Advised,Trauma,> 2 weeks to 2 months,40.6
Resolution Life Australasia Limited,Individual Advised,Trauma,> 2 months to 6 months,22.6
Resolution Life Australasia Limited,Individual Advised,Trauma,> 12 months,1.7
Resolution Life Australasia Limited,Group Super,Death,0-2 weeks,74.3
Resolution Life Australasia Limited,Group Super,Death,> 6 months to 12 months,2.9
Resolution Life Australasia Limited,Group Super,Death,> 2 weeks to 2 months,13.6
Resolution Life Australasia Limited,Group Super,Death,> 2 months to 6 months,9.3
Resolution Life Australasia Limited,Group Super,Death,> 12 months,0.0
Resolution Life Australasia Limited,Group Super,DII,0-2 weeks,6.6
Resolution Life Australasia Limited,Group Super,DII,> 6 months to 12 months,9.6
Resolution Life Australasia Limited,Group Super,DII,> 2 weeks to 2 months,60.6
Resolution Life Australasia Limited,Group Super,DII,> 2 months to 6 months,20.2
Resolution Life Australasia Limited,Group Super,DII,> 12 months,3.0
Resolution Life Australasia Limited,Group Super,TPD,0-2 weeks,4.9
Resolution Life Australasia Limited,Group Super,TPD,> 6 months to 12 months,27.8
Resolution Life Australasia Limited,Group Super,TPD,> 2 weeks to 2 months,8.7
Resolution Life Australasia Limited,Group Super,TPD,> 2 months to 6 months,42.2
Resolution Life Australasia Limited,Group Super,TPD,> 12 months,16.5
Resolution Life Australasia Limited,Group Ordinary,Death,0-2 weeks,0.0
Resolution Life Australasia Limited,Group Ordinary,Death,> 6 months to 12 months,0.0
Resolution Life Australasia Limited,Group Ordinary,Death,> 2 weeks to 2 months,0.0
Resolution Life Australasia Limited,Group Ordinary,Death,> 2 months to 6 months,0.0
Resolution Life Australasia Limited,Group Ordinary,Death,> 12 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,CCI,0-2 weeks,70.4
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,CCI,> 6 months to 12 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,CCI,> 2 weeks to 2 months,22.2
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,CCI,> 2 months to 6 months,6.2
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,CCI,> 12 months,1.2
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Death,0-2 weeks,25.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Death,> 6 months to 12 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Death,> 2 weeks to 2 months,46.2
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Death,> 2 months to 6 months,28.8
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Death,> 12 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,DII,0-2 weeks,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,DII,> 6 months to 12 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,DII,> 2 weeks to 2 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,DII,> 2 months to 6 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,DII,> 12 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Funeral,0-2 weeks,55.8
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Funeral,> 6 months to 12 months,1.7
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Funeral,> 2 weeks to 2 months,33.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Funeral,> 2 months to 6 months,9.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Funeral,> 12 months,0.6
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Trauma,0-2 weeks,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Trauma,> 6 months to 12 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Trauma,> 2 weeks to 2 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Trauma,> 2 months to 6 months,0.0
St Andrew's Life Insurance Pty Ltd,Individual Non-Advised,Trauma,> 12 months,0.0
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Accident,0-2 weeks,48.1
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Accident,> 6 months to 12 months,3.8
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Accident,> 2 weeks to 2 months,40.4
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Accident,> 2 months to 6 months,5.8
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Accident,> 12 months,1.9
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,0-2 weeks,60.2
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,> 6 months to 12 months,7.2
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,> 2 weeks to 2 months,21.7
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,> 2 months to 6 months,9.6
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Death,> 12 months,1.2
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,0-2 weeks,98.8
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,> 6 months to 12 months,0.0
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,> 2 weeks to 2 months,0.0
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,> 2 months to 6 months,1.3
Swiss Re Life & Health Australia Limited,Individual Non-Advised,Funeral,> 12 months,0.0
